;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788822771148;Cose che non abbiamo mai superato. Things we never got over;Score Lucy;NEWTON COMPTON EDITORI;FICTION;06/09/2022;STRANIERO
9788804671633;La Divina Commedia. Paradiso;Alighieri Dante;MONDADORI;FICTION;07/10/2016;ITALIANO
9788817180320;Lasciami qui;Rosa Giulia;RIZZOLI LIZARD;FICTION;03/10/2023;
9788892143791;Manuale di diritto commerciale;AA.VV.;GIAPPICHELLI;NON FICTION GENERALI;17/02/2023;
9788806130435;Poesie (1974-1992);Cavalli Patrizia;EINAUDI;FICTION;01/01/1997;ITALIANO
9788859266037;Vienna;Le Nevez Catherine;LONELY PLANET ITALIA;NON FICTION VARIE;15/07/2022;
9788892219526;Biancaneve e i sette nani;Cima Lodovica;SAN PAOLO EDIZIONI;BAMBINI/RAGAZZI;01/12/2019;
9788809896840;Le armi della persuasione. Come e perchÇ si finisce col dire di sç;Cialdini Robert B.;GIUNTI EDITORE;NON FICTION VARIE;23/03/2022;
9788822769701;L'abbazia dei cento delitti. Codice Millenarius saga;Simoni Marcello;NEWTON COMPTON EDITORI;FICTION;09/08/2022;ITALIANO
9788893291286;Spiderman. 1000 stickers. Tanti giochi e attivitÖ. Con adesivi;AA.VV.;MARVEL LIBRI;BAMBINI/RAGAZZI;19/01/2022;
9788850266968;Avrï cura di te;Gramellini Massimo;TEA;FICTION;11/07/2023;ITALIANO
9788852242038;Principesse. Disney baby. Cucó! Chi ä?;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;20/09/2023;
9791259674265;Come l'Occidente ha provocato la guerra in Ucraina;Abelow Benjamin;FAZI;NON FICTION GENERALI;28/02/2023;
9788834922033;Il mio matrimonio felice. Vol. 2;Agitogi Akumi;EDIZIONI BD;FICTION;22/08/2023;
9788806219642;La storia;Morante Elsa;EINAUDI;FICTION;10/02/2014;ITALIANO
9788858019689;Le pió belle storie dei miti greci;Mattia Luisa;GRIBAUDO;BAMBINI/RAGAZZI;18/01/2018;
9791222101668;Rime rimbambine;Tognolini Bruno;GALLUCCI;BAMBINI/RAGAZZI;29/09/2023;
9788809910492;L'asilo di Peppa;D'Achille Silvia;GIUNTI KIDS;BAMBINI/RAGAZZI;20/10/2021;
9791259674241;Fino alla fine;Flatland Helga;FAZI;FICTION;26/09/2023;STRANIERO
9788833190259;Anatomia umana;Martini Frederic H.;EDISES;NON FICTION GENERALI;30/01/2019;
9788858152485;Il mondo antico in 20 stratagemmi;Eramo Immacolata;LATERZA;NON FICTION GENERALI;03/10/2023;
9788850266739;La spada del destino. The Witcher. Vol. 2;Sapkowski Andrzej;TEA;FICTION;27/06/2023;STRANIERO
9788833645834;L'Albertazzi. Dizionario, grammatica, storie di slang bolognese in una variante di balotta;Perlini Francesco;PENDRAGON;NON FICTION GENERALI;28/09/2023;
9788899880682;‘ tempo di colorare. Coloro e imparo i numeri. Dice la maestra;Giustiniani Elisa;ELISEDIZIONI;BAMBINI/RAGAZZI;01/01/2023;
9788829604159;‘ autunno, Riccio;Campello Giuditta;EMME EDIZIONI;BAMBINI/RAGAZZI;29/08/2023;
9788817184120;Preparati a spingere. Essere madre, oggi, in Italia;Bubba Francesca;RIZZOLI;NON FICTION VARIE;26/09/2023;
9788861893863;Dory fantasmagorica;Hanlon Abby;TERRE DI MEZZO;BAMBINI/RAGAZZI;12/05/2016;
9788868946203;Con te!. Vol. 3. Amici. Sussidio;AA.VV.;CENTRO AMBROSIANO;NON FICTION GENERALI;28/08/2023;
9788804739425;Heartstopper. Vol. 4;Oseman Alice;MONDADORI;FICTION;31/08/2021;STRANIERO
9788822624338;Dragon Ball Super. Vol. 14;Toriyama Akira;STAR COMICS;FICTION;25/08/2021;STRANIERO
9788807034954;Trust;Diaz Hernan;FELTRINELLI;FICTION;14/06/2022;STRANIERO
9788864202099;One piece. New edition. Vol. 23;Oda Eiichiro;STAR COMICS;FICTION;16/12/2009;STRANIERO
9791221205374;Una nuova amica. Isadora Moon;Muncaster Harriet;DE AGOSTINI;BAMBINI/RAGAZZI;11/04/2023;
9788898038169;Gli anni;Ernaux Annie;L'ORMA;FICTION;14/05/2015;STRANIERO
9788806257729;Quando la nostra terra toccava il cielo. Una saga tibetana;Yangdzom Tsering (Lama);EINAUDI;FICTION;19/09/2023;STRANIERO
9788857310220;Colazione da Silene;Pretto Silene;RED EDIZIONI;NON FICTION VARIE;16/11/2022;
9788821565533;Vangelo e atti degli Apostoli;Aa.Vv.;SAN PAOLO EDIZIONI;NON FICTION GENERALI;05/09/2009;
9788804718420;Il secolo mobile. Storia dell'immigrazione illegale in Europa;Del Grande Gabriele;MONDADORI;NON FICTION GENERALI;29/08/2023;
9788855059169;La sposa secondo me. Amarsi, valorizzarsi e scoprire la versione migliore di sÇ nel giorno pió bello;Cavallo Nicole;VALLARDI A.;NON FICTION VARIE;19/09/2023;
9788806248789;L'etÖ del male;Kapoor Deepti;EINAUDI;FICTION;06/06/2023;STRANIERO
9788822621238;Dragon Ball Super. Vol. 13;Toriyama Akira;STAR COMICS;FICTION;24/02/2021;STRANIERO
9788898523825;Storie della notte;Crowther Kitty;TOPIPITTORI;BAMBINI/RAGAZZI;09/11/2017;
9788863860214;Diventa supernatural. Come fanno le persone comuni a realizzare cose straordinarie;Dispenza Joe;MY LIFE;NON FICTION VARIE;29/08/2023;
9788865432549;Dimentica il mio nome;Zerocalcare;BAO PUBLISHING;FICTION;16/10/2014;ITALIANO
9788829930616;Basi biologiche dell'attivitÖ psichica;AA.VV.;PICCIN-NUOVA LIBRARIA;NON FICTION GENERALI;26/08/2020;
9788858029411;Ripeto non aprire questo libro;Lee Andy;GRIBAUDO;BAMBINI/RAGAZZI;14/01/2021;
9788882227357;Non svegliare il drago!;Schulze Bianca;FATATRAC;BAMBINI/RAGAZZI;13/10/2021;
9788847741058;Moby Dick. Stampatello maiuscolo;Bordiglioni Stefano;EL;BAMBINI/RAGAZZI;04/07/2023;
9788822768339;Il ponte dei delitti di Venezia;Strukul Matteo;NEWTON COMPTON EDITORI;FICTION;02/05/2023;ITALIANO
9788830105263;La compagnia dell'anello. Il Signore degli anelli. Vol. 1;Tolkien John R. R.;BOMPIANI;FICTION;01/09/2021;STRANIERO
9788850264865;Figlia della cenere;Tuti Ilaria;TEA;FICTION;12/07/2022;ITALIANO
9788867228393;Il libro dei bambini incredibili;Perrin Clotilde;L'IPPOCAMPO;BAMBINI/RAGAZZI;21/09/2023;
9788806235932;Cromorama. Come il colore ha cambiato il nostro sguardo. Ediz. a colori;Falcinelli Riccardo;EINAUDI;NON FICTION GENERALI;26/09/2017;
9788891906236;Il linguaggio C. Fondamenti e tecniche di programmazione. Ediz. Mylab. Con espansione online;Deitel Paul J.;PEARSON;NON FICTION GENERALI;29/08/2022;
9788832055979;Intervista con un matto;Middei Guendalina;NAVARRA EDITORE;FICTION;15/09/2023;ITALIANO
9791280229373;Le bambine non esistono;Manoori Ukmina, Lebrun StÇphanie;LIBRERIA PIENOGIORNO;NON FICTION GENERALI;13/01/2022;
9788842066231;Storia del design;De Fusco Renato;LATERZA;NON FICTION GENERALI;12/04/2002;
9788834016350;La diagnosi psicoanalitca;McWilliams Nancy;ASTROLABIO UBALDINI;NON FICTION GENERALI;06/12/2012;
9788808189929;Zanichelli Junior. Vocabolario di italiano;AA.VV.;ZANICHELLI;BAMBINI/RAGAZZI;17/10/2016;
9788806247126;La fragilitÖ del bene: Sull'amore-Elogio dell'amicizia-Impara a essere felice;Crepet Paolo;EINAUDI;NON FICTION VARIE;02/02/2021;
9788815299055;Corso di diritto pubblico;Barbera Augusto;IL MULINO;NON FICTION GENERALI;14/10/2022;
9788834615164;Doppio. Il mio viaggio nel mondo specchio;Klein Naomi;LA NAVE DI TESEO;NON FICTION GENERALI;19/09/2023;
9788848002240;Il primo dizionario di italiano;AA.VV.;GARZANTI LINGUISTICA;BAMBINI/RAGAZZI;02/09/2020;
9788806227159;La gioia di educare: Non siamo capaci di ascoltarli-Voi, noi-I figli non crescono pió;Crepet Paolo;EINAUDI;NON FICTION GENERALI;08/04/2015;
9788823533073;Quello che noi non siamo;Biondillo Gianni;GUANDA;FICTION;12/09/2023;ITALIANO
9788801064308;Passodopopasso. Notebook. Vol. 3. Pane e vino. Segni di Gesó per noi;AA.VV.;ELLEDICI;NON FICTION GENERALI;07/09/2018;
9788829111596;Il codice civile e le leggi complementari;AA.VV.;LA TRIBUNA;NON FICTION GENERALI;15/09/2023;
9788822773487;Facciamo finta che non finirÖ;Armas Elena;NEWTON COMPTON EDITORI;FICTION;07/03/2023;STRANIERO
9788892134621;Economia aziendale;AA.VV.;GIAPPICHELLI;NON FICTION GENERALI;24/08/2020;
9788844080693;Story lab. Corso di scrittura creativa. 50 carte per creare le tue storie;Gungui Francesco;DEMETRA;NON FICTION VARIE;20/09/2023;
9788899880545;Coloriamo. Tratteggia e colora;Giustiniani Elisa;ELISEDIZIONI;BAMBINI/RAGAZZI;01/01/2023;
9791259740533;Gli animali. Tocca senti ascolta;Casalis Anna;DAMI EDITORE;BAMBINI/RAGAZZI;07/07/2021;
9788855441834;Le stelle non fanno rumore;Blue Camy;SPERLING & KUPFER;FICTION;14/03/2023;ITALIANO
9788815284891;Linguistica italiana;Palermo Massimo;IL MULINO;NON FICTION GENERALI;20/02/2020;
9788808843364;Lo Zingarelli 2024. Vocabolario della lingua italiana;Zingarelli Nicola;ZANICHELLI;NON FICTION GENERALI;02/05/2023;
9788817169400;La brevitÖ della vita. Testo latino a fronte;Seneca Lucio Anneo;RIZZOLI;NON FICTION GENERALI;29/09/1993;
9788809942219;Perfect day;Hausmann Romy;GIUNTI EDITORE;FICTION;19/10/2022;STRANIERO
9788891437068;Concorso CNR Consiglio Nazionale delle Ricerche. 138 collaboratori di amministrazione. Manuale+quiz;AA.VV.;EDIZIONI GIURIDICHE SIMONE;NON FICTION VARIE;08/09/2023;
9788850250745;Il monaco che vendette la sua Ferrari;Sharma Robin S.;TEA;FICTION;05/07/2018;STRANIERO
9791221205138;L'etÖ dello tsunami. Come sopravvivere a un figlio pre-adolescente;Pellai Alberto;DE AGOSTINI;NON FICTION VARIE;05/09/2023;
9788809932791;C'era una volta la scopa della strega;Blue Beatrice;GIUNTI EDITORE;BAMBINI/RAGAZZI;06/09/2023;
9788833701264;Alfabeti naturali. Piccola guida all'osservazione della creativitÖ dell'universo;Buglioni Federica;TOPIPITTORI;BAMBINI/RAGAZZI;07/06/2023;
9788817028370;Lettera ad un bambino mai nato;Fallaci Oriana;RIZZOLI;FICTION;01/04/2009;ITALIANO
9791221206883;Mirabella e i micivampiri monelli;Muncaster Harriet;DE AGOSTINI;BAMBINI/RAGAZZI;12/09/2023;
9788858017142;Lupetto diventa fratello maggiore. Amico lupo;Lallemand Orianne;GRIBAUDO;BAMBINI/RAGAZZI;16/03/2017;
9788854171633;L'interpretazione dei sogni;Freud Sigmund;NEWTON COMPTON EDITORI;NON FICTION GENERALI;25/09/2014;
9788820396244;L'investitore intelligente. Aggiornata con i nuovi commenti di Jason Zweig;Graham Benjamin;HOEPLI;NON FICTION VARIE;11/09/2020;
9788822624697;One piece. Celebration edition.  Vol. 98;Oda Eiichiro;STAR COMICS;FICTION;25/08/2021;STRANIERO
9788809967618;La casa del nespolo;Machida Sonoko;GIUNTI EDITORE;FICTION;05/04/2023;STRANIERO
9788866325512;Storia della bambina perduta. L'amica geniale. Vol. 4;Ferrante Elena;E/O;FICTION;29/10/2014;ITALIANO
9791259570758;Le storie da brivido;Lyon;MAGAZZINI SALANI;BAMBINI/RAGAZZI;28/04/2022;
9788893082853;La sfida contro il tempo;Ninna e Matti;NORD-SUD;BAMBINI/RAGAZZI;27/09/2022;
9788822771827;Promessa mortale;Marsons Angela;NEWTON COMPTON EDITORI;FICTION;06/01/2023;STRANIERO
9788822640420;My Hero Academia. Vol. 36;Horikoshi Kohei;STAR COMICS;FICTION;26/04/2023;STRANIERO
9788852241901;Elemental Staccattacca&colora;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;07/06/2023;
9788815278685;Psicologia dello sviluppo e dell'educazione;AA.VV.;IL MULINO;NON FICTION GENERALI;27/09/2018;
9788817184113;Il gioco interiore nel tennis. Come usare la mente per raggiungere l'eccellenza;Gallwey Timothy W.;RIZZOLI;NON FICTION VARIE;29/08/2023;
9788861375833;La trappola della felicitÖ. Come smettere di tormentarsi e iniziare a vivere;Harris Russ;ERICKSON;NON FICTION VARIE;16/03/2010;
9788868603984;I miei piccoli cuccioli. La mia prima biblioteca;Miller Simon;SASSI;BAMBINI/RAGAZZI;27/10/2016;
9791222101842;Musiche dal mondo;Collet Emilie;GALLUCCI;BAMBINI/RAGAZZI;29/09/2023;
9788893810777;La fabbrica di cioccolato;Dahl Roald;SALANI;BAMBINI/RAGAZZI;30/03/2017;
9788858008737;Storie di ballerine. Tanti scintillanti racconti ambientati nel mondo della danza;McMillan Sue;GRIBAUDO;BAMBINI/RAGAZZI;06/11/2013;
9788804752127;Good omens. Le belle e accurate profezie di Agnes Nutter, strega;Pratchett Terry;MONDADORI;FICTION;15/05/2023;STRANIERO
9788830106628;M. Il figlio del secolo;Scurati Antonio;BOMPIANI;FICTION;31/08/2022;ITALIANO
9788842057505;Etica Nicomachea. Testo greco a fronte;Aristotele;LATERZA;NON FICTION GENERALI;28/05/1999;
9788809953680;Delitti a Fleat House;Riley Lucinda;GIUNTI EDITORE;FICTION;25/05/2022;STRANIERO
9788806255640;La strada per Chevreuse;Modiano Patrick;EINAUDI;FICTION;12/09/2023;STRANIERO
9788806233983;Non ä un paese per vecchi;McCarthy Cormac;EINAUDI;FICTION;19/01/2017;STRANIERO
9788838944086;La presidente;GimÇnez-Bartlett Alicia;SELLERIO EDITORE PALERMO;FICTION;10/01/2023;STRANIERO
9788836231058;Stechiometria;Marcç G.;EDISES;NON FICTION GENERALI;12/09/2022;
9788868366490;La profezia della curandera;Huarache Mamani Hern†n;PIEMME;FICTION;24/10/2013;STRANIERO
9788858024003;Le mie storie preferite (12 titoli sfusi);AA.VV.;GRIBAUDO;BAMBINI/RAGAZZI;01/05/2019;
9798390238325;Psicologia positiva: come smettere di pensare troppo, imparare ad essere sereni e ad avere pensieri positivi: come gestire i pensieri negativi, fermare le ansie e vivere la vita con gioia e autostima;Bianchi Giulia;INDEPENDENTLY PUBLISHED;NON FICTION VARIE;01/01/2023;
9788815386731;Lezioni di filologia classica;Canfora Luciano;IL MULINO;NON FICTION GENERALI;08/09/2023;
9788817183222;Il senso religioso. Volume primo del PerCorso;Giussani Luigi;RIZZOLI;NON FICTION GENERALI;24/03/2023;
9788806240707;Le tre del mattino;Carofiglio Gianrico;EINAUDI;FICTION;28/05/2019;ITALIANO
9788838668944;Analisi matematica;Bertsch Michiel;MCGRAW-HILL EDUCATION;NON FICTION GENERALI;18/08/2014;
9788891436832;Il nuovo PEI su base ICF. Guida alla progettazione inclusiva sezione per sezione;D'Agostino Cristina;EDIZIONI GIURIDICHE SIMONE;NON FICTION GENERALI;02/08/2023;
9788856683219;Nel regno della fantasia;Stilton Geronimo;PIEMME;BAMBINI/RAGAZZI;11/01/2022;
9788847741027;Il giro del mondo in 80 giorni. Stampatello maiuscolo;Bordiglioni Stefano;EL;BAMBINI/RAGAZZI;04/07/2023;
9788806259457;Cose che non si raccontano;Lattanzi Antonella;EINAUDI;FICTION;14/03/2023;ITALIANO
9788804751779;L'amore da vecchia;Lamarque Vivian;MONDADORI;FICTION;08/11/2022;ITALIANO
9788830120488;L'acqua del lago non ä mai dolce;Caminito Giulia;BOMPIANI;FICTION;17/05/2023;ITALIANO
9788893443067;Manuale del guerriero della luce;Coelho Paulo;LA NAVE DI TESEO;NON FICTION VARIE;20/07/2017;
9788804724278;Il duca e io. Serie Bridgerton Vol. 1;Quinn Julia;MONDADORI;FICTION;01/09/2020;STRANIERO
9788859019022;In quarta con il metodo analogico: Matematica al volo in quarta. Calcolo e risoluzione di problemi con il metodo analogico-Italiano in quarta con il metodo analogico. Lettura, comprensione, composizione, analisi grammaticale e logica;Bortolato Camillo;ERICKSON;NON FICTION GENERALI;05/09/2019;
9788804671725;Mandragola;Machiavelli Niccolï;MONDADORI;FICTION;10/11/2016;ITALIANO
9788891708373;Storia economica. Dalla rivoluzione industriale alla rivoluzione informatica;De Simone Ennio;FRANCO ANGELI;NON FICTION GENERALI;26/07/2016;
9788804736141;Lettere a Milena;Kafka Franz;MONDADORI;NON FICTION GENERALI;18/01/2021;
9788806259761;Piero fa la Merica;Malaguti Paolo;EINAUDI;FICTION;04/04/2023;ITALIANO
9791259572042;Il libro dei mostri;Lyon;MAGAZZINI SALANI;BAMBINI/RAGAZZI;22/11/2022;
9788807882678;I no che aiutano a crescere;Phillips Asha;FELTRINELLI;NON FICTION GENERALI;25/09/2013;
9788878748941;Paripparbuff. Strega a metÖ;Bolaffio Raffaella;LAPIS;BAMBINI/RAGAZZI;14/10/2022;
9788858150696;Dante;Barbero Alessandro;LATERZA;NON FICTION GENERALI;03/02/2023;
9788861378698;Matematica al volo in quarta. Calcolo e risoluzione di problemi con il metodo analogico;Bortolato Camillo;ERICKSON;NON FICTION GENERALI;22/08/2011;
9788852239441;100 animali da colorare. Mega color Disney;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;04/01/2023;
9788822772589;Booklover. Diario di lettura. Per tenere nota di tutti i libri letti e da leggere, recensioni, challenge e molto altro!;Kingsley Felicia;NEWTON COMPTON EDITORI;NON FICTION VARIE;22/11/2022;
9788809966727;Storie della storia del mondo;Orvieto Laura;GIUNTI EDITORE;BAMBINI/RAGAZZI;11/05/2022;
9788891835420;Alla ricerca della spada dell'infinito;Kendal;MONDADORI ELECTA;BAMBINI/RAGAZZI;27/09/2022;
9788822774774;L'errore che rifarei. Kill switch. Devil?s night series;Douglas Penelope;NEWTON COMPTON EDITORI;FICTION;14/03/2023;STRANIERO
9788804668237;1984;Orwell George;MONDADORI;FICTION;21/06/2016;STRANIERO
9788834613498;Oro;Pellegrini Federica;LA NAVE DI TESEO;NON FICTION GENERALI;16/05/2023;
9788880336655;Diario di una schiappa. Si salvi chi puï!;Kinney Jeff;IL CASTORO;BAMBINI/RAGAZZI;03/01/2013;
9788809949027;Bing. Super activity. Con adesivi;AA.VV.;GIUNTI EDITORE;BAMBINI/RAGAZZI;12/01/2022;
9788869668319;Diario di una schiappa. Colpito e affondato!;Kinney Jeff;IL CASTORO;BAMBINI/RAGAZZI;25/10/2021;
9788851198275;Ero un bullo. La vera storia di Daniel Zaccaro;Franzoso Andrea;DE AGOSTINI;BAMBINI/RAGAZZI;11/01/2022;
9788806216665;L'arte di correre;Murakami Haruki;EINAUDI;NON FICTION GENERALI;19/03/2013;
9788828755616;Naruto. Il mito. Vol. 4;Kishimoto Masashi;PANINI COMICS;FICTION;03/08/2023;STRANIERO
9788899880491;Coloriamo. Un mondo di colori;AA.VV.;ELISEDIZIONI;BAMBINI/RAGAZZI;01/01/2022;
9788804761464;Se non dovessi tornare. La vita bruciata di Gary Hemming, alpinista fragile;Camanni Enrico;MONDADORI;FICTION;14/03/2023;ITALIANO
9788859280156;L'imprevedibile viaggio di Coyote Sunrise;Gemeinhart Dan;EDT-GIRALANGOLO;BAMBINI/RAGAZZI;30/09/2022;
9788869665257;Diario di una schiappa. Giorni da brivido;Kinney Jeff;IL CASTORO;BAMBINI/RAGAZZI;04/11/2019;
9791281368040;La brigante bambina;Aprile Pino;LIBRERIA PIENOGIORNO;FICTION;27/09/2023;ITALIANO
9788855442145;Vite complicate;Steel Danielle;SPERLING & KUPFER;FICTION;18/07/2023;STRANIERO
9788822617194;Dragon Ball Super. Vol. 10;Toriyama Akira;STAR COMICS;FICTION;05/02/2020;STRANIERO
9788817071352;Il secolo breve 1914-1991;Hobsbawm Eric J.;RIZZOLI;NON FICTION GENERALI;26/02/2014;
9788804719137;1984;Orwell George;MONDADORI;FICTION;12/11/2019;STRANIERO
9788893090971;Colora Halloween;AA.VV.;APE JUNIOR;BAMBINI/RAGAZZI;29/09/2023;
9788820074050;The love hypothesis. Il teorema dell'amore;Hazelwood Ali;SPERLING & KUPFER;FICTION;21/06/2022;STRANIERO
9788836230013;Biologia e genetica;De Leo Giacomo;EDISES;NON FICTION GENERALI;10/02/2020;
9788830901599;Dalla terra al pane;Marino Fulvio;CAIRO;NON FICTION VARIE;02/09/2021;
9788859011705;Italiano in prima con il metodo analogico. Lettura e avviamento alla scrittura;Bortolato Camillo;ERICKSON;NON FICTION GENERALI;29/08/2016;
9788830100824;21 lezioni per il XXI secolo;Harari Yuval Noah;BOMPIANI;NON FICTION GENERALI;11/09/2019;
9788828766001;Chainsaw Man. Vol. 2. Motosega vs pipistrello;Fujimoto Tatsuki;PANINI COMICS;FICTION;24/03/2022;STRANIERO
9788838611179;Le aziende. Obiettivi, logica ed esperienze nella produzione della ricchezza;Russo Paolo;MCGRAW-HILL EDUCATION;NON FICTION GENERALI;25/07/2023;
9788806257460;Gli ottomani. Khan, cesari e califfi;Baer Marc David;EINAUDI;NON FICTION GENERALI;03/10/2023;
9788887622508;Le 5 ferite e come guarirle. Rifiuto, abbandono, ingiustizia, umiliazione, tradimento - Vol. 1;Bourbeau Lise;AMRITA;NON FICTION VARIE;01/05/2002;
9788893818407;Harry Potter e la maledizione dell'erede. Parte uno e due. Scriptbook;Rowling J. K.;SALANI;BAMBINI/RAGAZZI;29/08/2019;
9788867143160;‘ matematico! La grande invenzione di Bubal-La geometria del Faraone-Le avventure del Signor 1-10+ Il genio sei tu!;Cerasoli Anna;EMME EDIZIONI;BAMBINI/RAGAZZI;04/11/2014;
9788856665338;Viaggio nel tempo;Stilton Geronimo;PIEMME;BAMBINI/RAGAZZI;10/07/2018;
9788858012307;La scienza della pasticceria. La chimica del bignä. Le basi;Bressanini Dario;GRIBAUDO;NON FICTION VARIE;22/10/2014;
9788807900587;Il ritratto di Dorian Gray;Wilde Oscar;FELTRINELLI;FICTION;05/06/2013;STRANIERO
9781474972710;Unicorni. Vesto le bamboline;Watt Fiona;USBORNE PUBLISHING;BAMBINI/RAGAZZI;17/09/2019;
9788830107403;Notte americana;Pessl Marisha;BOMPIANI;FICTION;14/06/2023;STRANIERO
9788833570532;Gli scomparsi di Chiardiluna. L'Attraversaspecchi Vol. 2;Dabos Christelle;E/O;FICTION;09/01/2019;STRANIERO
9788830119345;L'albero delle arance amare;Alharthi Jokha;BOMPIANI;FICTION;30/08/2023;STRANIERO
9781474994040;Al mare. Libri tattili sonori;Taplin Sam;USBORNE PUBLISHING;BAMBINI/RAGAZZI;18/05/2021;
9788804703662;arte della guerra (L');Sun Tzu;MONDADORI;NON FICTION GENERALI;18/07/2018;
9788804710318;Dieci piccoli indiani (... e poi non rimase nessuno);Christie Agatha;MONDADORI;FICTION;14/05/2019;STRANIERO
9788891908520;Manuale di comunicazione narrativa. Ediz. Mylab;Calabrese Stefano;PEARSON;NON FICTION GENERALI;14/02/2019;
9788809937512;Dizionario inglese. Inglese-italiano, italiano-inglese;AA.VV.;GIUNTI EDITORE;NON FICTION GENERALI;05/07/2023;
9788809958692;L'auto elettrica. Peppa Pig;D'Achille Silvia;GIUNTI EDITORE;BAMBINI/RAGAZZI;01/09/2021;
9791259674678;Appetricchio;Agliardi Fabienne;FAZI;FICTION;05/09/2023;ITALIANO
9788822762436;L'abbazia dei cento inganni. Codice Millenarius saga;Simoni Marcello;NEWTON COMPTON EDITORI;FICTION;07/04/2022;ITALIANO
9788806224738;Eneide. Testo latino a fronte;Virgilio Marone Publio;EINAUDI;FICTION;07/10/2014;STRANIERO
9791259671691;Puzzle;Thilliez Franck;FAZI;FICTION;31/10/2022;STRANIERO
9798862269949;Friggitrice ad aria. Presto pronto! 500+ ricette italiane facili e veloci;Carusi Elena, Casillo Sara;INDEPENDENTLY PUBLISHED;NON FICTION VARIE;23/09/2023;
9788831540346;Ogni giorno la sua gioia. Un modo per aprire bene la giornata;Sousa Nobre JosÇ;PAOLINE EDITORIALE LIBRI;NON FICTION GENERALI;01/03/2015;
9788834921173;Something is killing the children. Vol. 6. La ragazza e l'uragano;Tynion James IV;EDIZIONI BD;FICTION;06/10/2023;
9788855059145;Il carrello dalla parte del manico. Tecniche di autodifesa per consumatori felici;Dona Massimiliano;VALLARDI A.;NON FICTION VARIE;26/09/2023;
9791259673817;Capitalismo woke. Come la moralitÖ aziendale minaccia la democrazia;Rhodes Carl;FAZI;NON FICTION GENERALI;19/09/2023;
9788804718079;Miti del Nord;Gaiman Neil;MONDADORI;FICTION;15/10/2019;STRANIERO
9788820076061;Love on the brain. L'amore in testa;Hazelwood Ali;SPERLING & KUPFER;FICTION;11/04/2023;STRANIERO
9788817029094;La Gerusalemme liberata;Tasso Torquato;RIZZOLI;FICTION;25/11/2009;ITALIANO
9788804764922;Luci su Los Angeles;Crais Robert;MONDADORI;FICTION;12/09/2023;STRANIERO
9791222302997;MDF. La storia del Mostro di Firenze. Vol. 2. Pietro Pacciani e i Compagni di merende;Taddeo Roberto;MIMESIS;NON FICTION GENERALI;06/10/2023;
9788829928231;Atkinson & Hilgard's. Introduzione alla psicologia;Atkinson Rita L.,Hilgard Ernest R.;PICCIN-NUOVA LIBRARIA;NON FICTION GENERALI;21/03/2017;
9788809932067;Diventa il tuo psicologo. Migliora la tua vita con 10 minuti al giorno di autoterapia;O'Kane Owen;GIUNTI EDITORE;NON FICTION VARIE;27/09/2023;
9788858016022;La scienza della carne. La chimica della bistecca e dell'arrosto;Bressanini Dario;GRIBAUDO;NON FICTION VARIE;20/10/2016;
9788870514001;Biologia. Cellula e tessuti;AA.VV.;EDI. ERMES;NON FICTION GENERALI;01/10/2014;
9788822618467;Dragon Ball Super. Vol. 11;Toriyama Akira;STAR COMICS;FICTION;27/05/2020;STRANIERO
9781471156267;It ends with us;Hoover Colleen;SIMON & SCHUSTER;FICTION;01/01/2016;STRANIERO
9788847741041;Riccioli d'Oro e i tre orsi. Stampatello maiuscolo;Piumini Roberto;EL;BAMBINI/RAGAZZI;04/07/2023;
9788859300441;Storia contemporanea. L'Ottocento;Sabbatucci Giovanni, Vidotto Vittorio;LATERZA;NON FICTION GENERALI;01/10/2018;
9788858021057;Il lupo che si emozionava troppo. Amico lupo;Lallemand Orianne;GRIBAUDO;BAMBINI/RAGAZZI;05/04/2018;
9788820345273;Il cinese per gli italiani. Vol. 1;AA.VV.;HOEPLI;NON FICTION VARIE;01/06/2010;
9791259961051;PapÖ montagna;Donati Sara;TERRE DI MEZZO;BAMBINI/RAGAZZI;28/10/2022;
9788834922026;Il mio matrimonio felice. Vol. 1;Agitogi Akumi;EDIZIONI BD;FICTION;18/07/2023;
9788804775959;LuCake. Il mio manuale di pasticceria per tutti;Perego Luca;MONDADORI;NON FICTION VARIE;23/05/2023;
9781739591984;Ti ho trovata, Adeline. Il gatto e il topo. Vol. 1;Carlton H. D.;VIRGIBOOKS;FICTION;15/11/2022;STRANIERO
9788822619617;Dragon Ball Super. Vol. 12;Toriyama Akira;STAR COMICS;FICTION;28/10/2020;STRANIERO
9788858006603;Le sei storie delle paroline magiche;Agostini Sara;GRIBAUDO;BAMBINI/RAGAZZI;23/05/2012;
9788867228539;Maldoror. I ragazzi della leggenda. Vol. 1;Lechermeier Philippe;L'IPPOCAMPO;BAMBINI/RAGAZZI;28/09/2023;
9788809882928;La luce alla finestra;Riley Lucinda;GIUNTI EDITORE;FICTION;12/06/2019;STRANIERO
9791259673831;Le sette lune di Maali Almeida;Karunatilaka Shehan;FAZI;FICTION;06/06/2023;STRANIERO
